Year,Month,Anomaly,Season
1862,07,-0.29,Summer
1862,08,-0.3,Summer
1862,09,-0.23,Summer
1862,10,-0.27,Fall
1862,11,-0.19,Fall
1862,12,-0.28,Fall
1863,01,-0.05,Winter
1863,02,-0.08,Winter
1863,03,-0.12,Winter
1863,04,-0.15,Spring
1863,05,-0.12,Spring
1863,06,-0.24,Spring
1863,07,-0.23,Summer
1863,08,-0.14,Summer
1863,09,-0.2,Summer
1863,10,-0.22,Fall
1863,11,-0.18,Fall
1863,12,-0.08,Fall
1864,01,-0.35,Winter
1864,02,-0.2,Winter
1864,03,-0.18,Winter
1864,04,-0.2,Spring
1864,05,-0.13,Spring
1864,06,-0.09,Spring
1864,07,-0.15,Summer
1864,08,-0.17,Summer
1864,09,-0.24,Summer
1864,10,-0.27,Fall
1864,11,-0.19,Fall
1864,12,-0.11,Fall
1865,01,-0.05,Winter
1865,02,-0.25,Winter
1865,03,-0.18,Winter
1865,04,-0.16,Spring
1865,05,-0.17,Spring
1865,06,-0.13,Spring
1865,07,-0.07,Summer
1865,08,-0.09,Summer
1865,09,-0.09,Summer
1865,10,-0.15,Fall
1865,11,-0.1,Fall
1865,12,-0.11,Fall
1866,01,0.09,Winter
1866,02,-0.06,Winter
1866,03,-0.07,Winter
1866,04,-0.17,Spring
1866,05,-0.18,Spring
1866,06,-0.1,Spring
1866,07,-0.06,Summer
1866,08,-0.18,Summer
1866,09,-0.2,Summer
1866,10,-0.19,Fall
1866,11,-0.06,Fall
1866,12,-0.1,Fall
1867,01,-0.22,Winter
1867,02,-0.09,Winter
1867,03,-0.21,Winter
1867,04,-0.19,Spring
1867,05,-0.27,Spring
1867,06,-0.19,Spring
1867,07,-0.22,Summer
1867,08,-0.12,Summer
1867,09,-0.04,Summer
1867,10,-0.13,Fall
1867,11,-0.16,Fall
1867,12,-0.34,Fall
1868,01,-0.42,Winter
1868,02,-0.23,Winter
1868,03,-0.09,Winter
1868,04,-0.1,Spring
1868,05,-0.1,Spring
1868,06,-0.04,Spring
1868,07,-0.11,Summer
1868,08,-0.11,Summer
1868,09,-0.18,Summer
1868,10,-0.14,Fall
1868,11,-0.14,Fall
1868,12,-0.09,Fall
1869,01,-0.15,Winter
1869,02,0.02,Winter
1869,03,-0.15,Winter
1869,04,-0.11,Spring
1869,05,-0.11,Spring
1869,06,-0.09,Spring
1869,07,-0.15,Summer
1869,08,-0.19,Summer
1869,09,-0.17,Summer
1869,10,-0.24,Fall
1869,11,-0.01,Fall
1869,12,-0.07,Fall
1870,01,-0.05,Winter
1870,02,-0.16,Winter
1870,03,-0.05,Winter
1870,04,-0.12,Spring
1870,05,-0.12,Spring
1870,06,-0.16,Spring
1870,07,-0.11,Summer
1870,08,-0.16,Summer
1870,09,-0.2,Summer
1870,10,-0.31,Fall
1870,11,-0.23,Fall
1870,12,-0.37,Fall
1871,01,-0.28,Winter
1871,02,-0.31,Winter
1871,03,-0.01,Winter
1871,04,-0.01,Spring
1871,05,-0.13,Spring
1871,06,-0.13,Spring
1871,07,-0.09,Summer
1871,08,-0.16,Summer
1871,09,-0.23,Summer
1871,10,-0.25,Fall
1871,11,-0.23,Fall
1871,12,-0.24,Fall
1872,01,-0.19,Winter
1872,02,-0.19,Winter
1872,03,-0.21,Winter
1872,04,-0.2,Spring
1872,05,-0.17,Spring
1872,06,-0.17,Spring
1872,07,-0.13,Summer
1872,08,-0.1,Summer
1872,09,-0.19,Summer
1872,10,-0.14,Fall
1872,11,-0.17,Fall
1872,12,-0.29,Fall
1873,01,-0.11,Winter
1873,02,-0.18,Winter
1873,03,-0.27,Winter
1873,04,-0.44,Spring
1873,05,-0.3,Spring
1873,06,-0.14,Spring
1873,07,-0.13,Summer
1873,08,-0.09,Summer
1873,09,-0.2,Summer
1873,10,-0.17,Fall
1873,11,-0.19,Fall
1873,12,-0.13,Fall
1874,01,-0.06,Winter
1874,02,-0.18,Winter
1874,03,-0.29,Winter
1874,04,-0.3,Spring
1874,05,-0.3,Spring
1874,06,-0.26,Spring
1874,07,-0.15,Summer
1874,08,-0.14,Summer
1874,09,-0.16,Summer
1874,10,-0.2,Fall
1874,11,-0.26,Fall
1874,12,-0.27,Fall
1875,01,-0.4,Winter
1875,02,-0.21,Winter
1875,03,-0.21,Winter
1875,04,-0.22,Spring
1875,05,-0.1,Spring
1875,06,-0.08,Spring
1875,07,-0.11,Summer
1875,08,-0.09,Summer
1875,09,-0.17,Summer
1875,10,-0.15,Fall
1875,11,-0.35,Fall
1875,12,-0.31,Fall
1876,01,-0.26,Winter
1876,02,-0.24,Winter
1876,03,-0.16,Winter
1876,04,-0.28,Spring
1876,05,-0.35,Spring
1876,06,-0.19,Spring
1876,07,-0.16,Summer
1876,08,-0.15,Summer
1876,09,-0.19,Summer
1876,10,-0.16,Fall
1876,11,-0.26,Fall
1876,12,-0.23,Fall
1877,01,-0.16,Winter
1877,02,-0.02,Winter
1877,03,0.03,Winter
1877,04,-0.1,Spring
1877,05,-0.05,Spring
1877,06,0.06,Spring
1877,07,0.12,Summer
1877,08,0.11,Summer
1877,09,0.13,Summer
1877,10,0.11,Fall
1877,11,0.19,Fall
1877,12,0.1,Fall
1878,01,0.1,Winter
1878,02,0.23,Winter
1878,03,0.25,Winter
1878,04,0.06,Spring
1878,05,0.04,Spring
1878,06,0.1,Spring
1878,07,0.05,Summer
1878,08,0.03,Summer
1878,09,0.02,Summer
1878,10,-0.05,Fall
1878,11,-0.09,Fall
1878,12,-0.08,Fall
1879,01,-0.07,Winter
1879,02,-0.04,Winter
1879,03,-0.04,Winter
1879,04,-0.06,Spring
1879,05,-0.05,Spring
1879,06,-0.12,Spring
1879,07,-0.08,Summer
1879,08,-0.18,Summer
1879,09,-0.14,Summer
1879,10,-0.08,Fall
1879,11,-0.24,Fall
1879,12,-0.31,Fall
1880,01,-0.16,Winter
1880,02,-0.18,Winter
1880,03,-0.11,Winter
1880,04,-0.15,Spring
1880,05,-0.07,Spring
1880,06,-0.2,Spring
1880,07,-0.23,Summer
1880,08,-0.14,Summer
1880,09,-0.17,Summer
1880,10,-0.31,Fall
1880,11,-0.18,Fall
1880,12,-0.17,Fall
1881,01,-0.16,Winter
1881,02,-0.17,Winter
1881,03,-0.08,Winter
1881,04,-0.02,Spring
1881,05,0.1,Spring
1881,06,-0.19,Spring
1881,07,-0.09,Summer
1881,08,-0.05,Summer
1881,09,-0.17,Summer
1881,10,-0.25,Fall
1881,11,-0.26,Fall
1881,12,-0.08,Fall
1882,01,0.15,Winter
1882,02,0.05,Winter
1882,03,-0.02,Winter
1882,04,-0.19,Spring
1882,05,-0.2,Spring
1882,06,-0.22,Spring
1882,07,-0.18,Summer
1882,08,-0.08,Summer
1882,09,-0.11,Summer
1882,10,-0.29,Fall
1882,11,-0.23,Fall
1882,12,-0.25,Fall
1883,01,-0.33,Winter
1883,02,-0.35,Winter
1883,03,-0.18,Winter
1883,04,-0.18,Spring
1883,05,-0.16,Spring
1883,06,-0.16,Spring
1883,07,-0.12,Summer
1883,08,-0.16,Summer
1883,09,-0.29,Summer
1883,10,-0.24,Fall
1883,11,-0.28,Fall
1883,12,-0.23,Fall
1884,01,-0.17,Winter
1884,02,-0.21,Winter
1884,03,-0.3,Winter
1884,04,-0.36,Spring
1884,05,-0.32,Spring
1884,06,-0.32,Spring
1884,07,-0.36,Summer
1884,08,-0.32,Summer
1884,09,-0.31,Summer
1884,10,-0.3,Fall
1884,11,-0.41,Fall
1884,12,-0.33,Fall
1885,01,-0.57,Winter
1885,02,-0.36,Winter
1885,03,-0.27,Winter
1885,04,-0.36,Spring
1885,05,-0.4,Spring
1885,06,-0.36,Spring
1885,07,-0.37,Summer
1885,08,-0.31,Summer
1885,09,-0.27,Summer
1885,10,-0.27,Fall
1885,11,-0.24,Fall
1885,12,-0.09,Fall
1886,01,-0.29,Winter
1886,02,-0.31,Winter
1886,03,-0.27,Winter
1886,04,-0.2,Spring
1886,05,-0.21,Spring
1886,06,-0.27,Spring
1886,07,-0.21,Summer
1886,08,-0.29,Summer
1886,09,-0.27,Summer
1886,10,-0.21,Fall
1886,11,-0.24,Fall
1886,12,-0.27,Fall
1887,01,-0.53,Winter
1887,02,-0.42,Winter
1887,03,-0.26,Winter
1887,04,-0.28,Spring
1887,05,-0.27,Spring
1887,06,-0.24,Spring
1887,07,-0.28,Summer
1887,08,-0.34,Summer
1887,09,-0.19,Summer
1887,10,-0.34,Fall
1887,11,-0.26,Fall
1887,12,-0.26,Fall
1888,01,-0.3,Winter
1888,02,-0.32,Winter
1888,03,-0.33,Winter
1888,04,-0.19,Spring
1888,05,-0.15,Spring
1888,06,-0.11,Spring
1888,07,-0.12,Summer
1888,08,-0.18,Summer
1888,09,-0.14,Summer
1888,10,-0.05,Fall
1888,11,-0.07,Fall
1888,12,-0.05,Fall
1889,01,-0.04,Winter
1889,02,0.1,Winter
1889,03,0.05,Winter
1889,04,0.04,Spring
1889,05,0.02,Spring
1889,06,-0.03,Spring
1889,07,-0.06,Summer
1889,08,-0.12,Summer
1889,09,-0.18,Summer
1889,10,-0.24,Fall
1889,11,-0.28,Fall
1889,12,-0.2,Fall
1890,01,-0.36,Winter
1890,02,-0.27,Winter
1890,03,-0.23,Winter
1890,04,-0.21,Spring
1890,05,-0.25,Spring
1890,06,-0.2,Spring
1890,07,-0.24,Summer
1890,08,-0.33,Summer
1890,09,-0.27,Summer
1890,10,-0.3,Fall
1890,11,-0.44,Fall
1890,12,-0.23,Fall
1891,01,-0.27,Winter
1891,02,-0.34,Winter
1891,03,-0.21,Winter
1891,04,-0.21,Spring
1891,05,-0.1,Spring
1891,06,-0.13,Spring
1891,07,-0.12,Summer
1891,08,-0.14,Summer
1891,09,-0.1,Summer
1891,10,-0.22,Fall
1891,11,-0.31,Fall
1891,12,-0.06,Fall
1892,01,-0.21,Winter
1892,02,-0.14,Winter
1892,03,-0.26,Winter
1892,04,-0.22,Spring
1892,05,-0.17,Spring
1892,06,-0.19,Spring
1892,07,-0.3,Summer
1892,08,-0.26,Summer
1892,09,-0.16,Summer
1892,10,-0.23,Fall
1892,11,-0.37,Fall
1892,12,-0.48,Fall
1893,01,-0.67,Winter
1893,02,-0.58,Winter
1893,03,-0.28,Winter
1893,04,-0.24,Spring
1893,05,-0.31,Spring
1893,06,-0.2,Spring
1893,07,-0.21,Summer
1893,08,-0.28,Summer
1893,09,-0.28,Summer
1893,10,-0.26,Fall
1893,11,-0.24,Fall
1893,12,-0.28,Fall
1894,01,-0.36,Winter
1894,02,-0.16,Winter
1894,03,-0.16,Winter
1894,04,-0.31,Spring
1894,05,-0.21,Spring
1894,06,-0.29,Spring
1894,07,-0.2,Summer
1894,08,-0.21,Summer
1894,09,-0.24,Summer
1894,10,-0.28,Fall
1894,11,-0.26,Fall
1894,12,-0.19,Fall
1895,01,-0.35,Winter
1895,02,-0.37,Winter
1895,03,-0.32,Winter
1895,04,-0.2,Spring
1895,05,-0.18,Spring
1895,06,-0.18,Spring
1895,07,-0.15,Summer
1895,08,-0.15,Summer
1895,09,-0.1,Summer
1895,10,-0.12,Fall
1895,11,-0.15,Fall
1895,12,-0.08,Fall
1896,01,-0.15,Winter
1896,02,-0.04,Winter
1896,03,-0.16,Winter
1896,04,-0.13,Spring
1896,05,-0.05,Spring
1896,06,-0.07,Spring
1896,07,-0.01,Summer
1896,08,-0.03,Summer
1896,09,-0.02,Summer
1896,10,0.03,Fall
1896,11,-0.07,Fall
1896,12,0.01,Fall
1897,01,-0.07,Winter
1897,02,-0.1,Winter
1897,03,-0.14,Winter
1897,04,0.08,Spring
1897,05,0.1,Spring
1897,06,-0.11,Spring
1897,07,-0.05,Summer
1897,08,-0.04,Summer
1897,09,-0.04,Summer
1897,10,-0.1,Fall
1897,11,-0.19,Fall
1897,12,-0.2,Fall
1898,01,-0.01,Winter
1898,02,-0.22,Winter
1898,03,-0.47,Winter
1898,04,-0.26,Spring
1898,05,-0.21,Spring
1898,06,-0.15,Spring
1898,07,-0.18,Summer
1898,08,-0.21,Summer
1898,09,-0.23,Summer
1898,10,-0.36,Fall
1898,11,-0.33,Fall
1898,12,-0.16,Fall
1899,01,-0.23,Winter
1899,02,-0.3,Winter
1899,03,-0.3,Winter
1899,04,-0.22,Spring
1899,05,-0.19,Spring
1899,06,-0.23,Spring
1899,07,-0.11,Summer
1899,08,-0.03,Summer
1899,09,-0.02,Summer
1899,10,-0.08,Fall
1899,11,-0.1,Fall
1899,12,-0.27,Fall
1900,01,-0.3,Winter
1900,02,-0.17,Winter
1900,03,-0.03,Winter
1900,04,-0.04,Spring
1900,05,-0.06,Spring
1900,06,-0.08,Spring
1900,07,-0.11,Summer
1900,08,-0.07,Summer
1900,09,-0.05,Summer
1900,10,0.05,Fall
1900,11,-0.08,Fall
1900,12,-0.06,Fall
1901,01,-0.12,Winter
1901,02,-0.08,Winter
1901,03,0.03,Winter
1901,04,-0.1,Spring
1901,05,-0.09,Spring
1901,06,-0.08,Spring
1901,07,-0.09,Summer
1901,08,-0.14,Summer
1901,09,-0.18,Summer
1901,10,-0.28,Fall
1901,11,-0.22,Fall
1901,12,-0.38,Fall
1902,01,-0.17,Winter
1902,02,-0.04,Winter
1902,03,-0.27,Winter
1902,04,-0.28,Spring
1902,05,-0.27,Spring
1902,06,-0.26,Spring
1902,07,-0.24,Summer
1902,08,-0.23,Summer
1902,09,-0.22,Summer
1902,10,-0.28,Fall
1902,11,-0.32,Fall
1902,12,-0.27,Fall
1903,01,-0.15,Winter
1903,02,-0.03,Winter
1903,03,-0.17,Winter
1903,04,-0.3,Spring
1903,05,-0.33,Spring
1903,06,-0.3,Spring
1903,07,-0.32,Summer
1903,08,-0.4,Summer
1903,09,-0.42,Summer
1903,10,-0.48,Fall
1903,11,-0.47,Fall
1903,12,-0.46,Fall
1904,01,-0.49,Winter
1904,02,-0.54,Winter
1904,03,-0.54,Winter
1904,04,-0.47,Spring
1904,05,-0.46,Spring
1904,06,-0.4,Spring
1904,07,-0.45,Summer
1904,08,-0.42,Summer
1904,09,-0.49,Summer
1904,10,-0.35,Fall
1904,11,-0.26,Fall
1904,12,-0.34,Fall
1905,01,-0.27,Winter
1905,02,-0.45,Winter
1905,03,-0.36,Winter
1905,04,-0.42,Spring
1905,05,-0.24,Spring
1905,06,-0.2,Spring
1905,07,-0.18,Summer
1905,08,-0.22,Summer
1905,09,-0.21,Summer
1905,10,-0.23,Fall
1905,11,-0.09,Fall
1905,12,-0.09,Fall
1906,01,-0.21,Winter
1906,02,-0.21,Winter
1906,03,-0.2,Winter
1906,04,-0.1,Spring
1906,05,-0.21,Spring
1906,06,-0.16,Spring
1906,07,-0.21,Summer
1906,08,-0.21,Summer
1906,09,-0.26,Summer
1906,10,-0.21,Fall
1906,11,-0.35,Fall
1906,12,-0.19,Fall
1907,01,-0.36,Winter
1907,02,-0.4,Winter
1907,03,-0.25,Winter
1907,04,-0.3,Spring
1907,05,-0.39,Spring
1907,06,-0.32,Spring
1907,07,-0.34,Summer
1907,08,-0.3,Summer
1907,09,-0.32,Summer
1907,10,-0.26,Fall
1907,11,-0.38,Fall
1907,12,-0.42,Fall
1908,01,-0.37,Winter
1908,02,-0.32,Winter
1908,03,-0.51,Winter
1908,04,-0.41,Spring
1908,05,-0.34,Spring
1908,06,-0.31,Spring
1908,07,-0.35,Summer
1908,08,-0.42,Summer
1908,09,-0.36,Summer
1908,10,-0.44,Fall
1908,11,-0.54,Fall
1908,12,-0.44,Fall
1909,01,-0.5,Winter
1909,02,-0.38,Winter
1909,03,-0.52,Winter
1909,04,-0.59,Spring
1909,05,-0.48,Spring
1909,06,-0.46,Spring
1909,07,-0.4,Summer
1909,08,-0.33,Summer
1909,09,-0.36,Summer
1909,10,-0.39,Fall
1909,11,-0.38,Fall
1909,12,-0.42,Fall
1910,01,-0.3,Winter
1910,02,-0.35,Winter
1910,03,-0.52,Winter
1910,04,-0.37,Spring
1910,05,-0.31,Spring
1910,06,-0.32,Spring
1910,07,-0.3,Summer
1910,08,-0.36,Summer
1910,09,-0.38,Summer
1910,10,-0.44,Fall
1910,11,-0.51,Fall
1910,12,-0.61,Fall
1911,01,-0.55,Winter
1911,02,-0.55,Winter
1911,03,-0.59,Winter
1911,04,-0.51,Spring
1911,05,-0.46,Spring
1911,06,-0.45,Spring
1911,07,-0.41,Summer
1911,08,-0.44,Summer
1911,09,-0.39,Summer
1911,10,-0.32,Fall
1911,11,-0.17,Fall
1911,12,-0.13,Fall
1912,01,-0.24,Winter
1912,02,-0.18,Winter
1912,03,-0.32,Winter
1912,04,-0.2,Spring
1912,05,-0.18,Spring
1912,06,-0.18,Spring
1912,07,-0.38,Summer
1912,08,-0.43,Summer
1912,09,-0.52,Summer
1912,10,-0.54,Fall
1912,11,-0.38,Fall
1912,12,-0.45,Fall
1913,01,-0.34,Winter
1913,02,-0.41,Winter
1913,03,-0.39,Winter
1913,04,-0.35,Spring
1913,05,-0.4,Spring
1913,06,-0.4,Spring
1913,07,-0.33,Summer
1913,08,-0.31,Summer
1913,09,-0.34,Summer
1913,10,-0.33,Fall
1913,11,-0.25,Fall
1913,12,-0.07,Fall
1914,01,0.05,Winter
1914,02,-0.06,Winter
1914,03,-0.18,Winter
1914,04,-0.29,Spring
1914,05,-0.2,Spring
1914,06,-0.22,Spring
1914,07,-0.24,Summer
1914,08,-0.18,Summer
1914,09,-0.18,Summer
1914,10,-0.11,Fall
1914,11,-0.12,Fall
1914,12,0.1,Fall
1915,01,-0.17,Winter
1915,02,-0.01,Winter
1915,03,-0.05,Winter
1915,04,0.08,Spring
1915,05,0.1,Spring
1915,06,-0.11,Spring
1915,07,-0.06,Summer
1915,08,-0.11,Summer
1915,09,-0.19,Summer
1915,10,-0.21,Fall
1915,11,-0.13,Fall
1915,12,-0.24,Fall
1916,01,-0.2,Winter
1916,02,-0.16,Winter
1916,03,-0.26,Winter
1916,04,-0.24,Spring
1916,05,-0.26,Spring
1916,06,-0.36,Spring
1916,07,-0.31,Summer
1916,08,-0.27,Summer
1916,09,-0.28,Summer
1916,10,-0.3,Fall
1916,11,-0.4,Fall
1916,12,-0.7,Fall
1917,01,-0.6,Winter
1917,02,-0.64,Winter
1917,03,-0.64,Winter
1917,04,-0.51,Spring
1917,05,-0.53,Spring
1917,06,-0.41,Spring
1917,07,-0.26,Summer
1917,08,-0.22,Summer
1917,09,-0.21,Summer
1917,10,-0.38,Fall
1917,11,-0.33,Fall
1917,12,-0.48,Fall
1918,01,-0.44,Winter
1918,02,-0.39,Winter
1918,03,-0.28,Winter
1918,04,-0.41,Spring
1918,05,-0.4,Spring
1918,06,-0.34,Spring
1918,07,-0.28,Summer
1918,08,-0.29,Summer
1918,09,-0.16,Summer
1918,10,-0.1,Fall
1918,11,-0.08,Fall
1918,12,-0.26,Fall
1919,01,-0.15,Winter
1919,02,-0.19,Winter
1919,03,-0.19,Winter
1919,04,-0.08,Spring
1919,05,-0.22,Spring
1919,06,-0.3,Spring
1919,07,-0.27,Summer
1919,08,-0.32,Summer
1919,09,-0.24,Summer
1919,10,-0.2,Fall
1919,11,-0.35,Fall
1919,12,-0.38,Fall
1920,01,-0.26,Winter
1920,02,-0.29,Winter
1920,03,-0.11,Winter
1920,04,-0.23,Spring
1920,05,-0.25,Spring
1920,06,-0.28,Spring
1920,07,-0.27,Summer
1920,08,-0.23,Summer
1920,09,-0.18,Summer
1920,10,-0.25,Fall
1920,11,-0.24,Fall
1920,12,-0.43,Fall
1921,01,-0.09,Winter
1921,02,-0.19,Winter
1921,03,-0.23,Winter
1921,04,-0.26,Spring
1921,05,-0.21,Spring
1921,06,-0.23,Spring
1921,07,-0.13,Summer
1921,08,-0.19,Summer
1921,09,-0.18,Summer
1921,10,-0.08,Fall
1921,11,-0.15,Fall
1921,12,-0.15,Fall
1922,01,-0.29,Winter
1922,02,-0.39,Winter
1922,03,-0.11,Winter
1922,04,-0.2,Spring
1922,05,-0.27,Spring
1922,06,-0.24,Spring
1922,07,-0.26,Summer
1922,08,-0.27,Summer
1922,09,-0.3,Summer
1922,10,-0.29,Fall
1922,11,-0.16,Fall
1922,12,-0.2,Fall
1923,01,-0.25,Winter
1923,02,-0.39,Winter
1923,03,-0.33,Winter
1923,04,-0.35,Spring
1923,05,-0.27,Spring
1923,06,-0.21,Spring
1923,07,-0.29,Summer
1923,08,-0.32,Summer
1923,09,-0.26,Summer
1923,10,-0.19,Fall
1923,11,-0.05,Fall
1923,12,-0.1,Fall
1924,01,-0.18,Winter
1924,02,-0.18,Winter
1924,03,-0.07,Winter
1924,04,-0.22,Spring
1924,05,-0.1,Spring
1924,06,-0.22,Spring
1924,07,-0.21,Summer
1924,08,-0.3,Summer
1924,09,-0.29,Summer
1924,10,-0.32,Fall
1924,11,-0.21,Fall
1924,12,-0.37,Fall
1925,01,-0.36,Winter
1925,02,-0.4,Winter
1925,03,-0.26,Winter
1925,04,-0.24,Spring
1925,05,-0.24,Spring
1925,06,-0.28,Spring
1925,07,-0.24,Summer
1925,08,-0.16,Summer
1925,09,-0.13,Summer
1925,10,-0.17,Fall
1925,11,0.02,Fall
1925,12,0.08,Fall
1926,01,0.12,Winter
1926,02,-0.1,Winter
1926,03,0.09,Winter
1926,04,-0.11,Spring
1926,05,-0.16,Spring
1926,06,-0.16,Spring
1926,07,-0.22,Summer
1926,08,-0.12,Summer
1926,09,-0.14,Summer
1926,10,-0.08,Fall
1926,11,-0.06,Fall
1926,12,-0.21,Fall
1927,01,-0.28,Winter
1927,02,-0.19,Winter
1927,03,-0.33,Winter
1927,04,-0.26,Spring
1927,05,-0.2,Spring
1927,06,-0.19,Spring
1927,07,-0.16,Summer
1927,08,-0.14,Summer
1927,09,-0.08,Summer
1927,10,-0.02,Fall
1927,11,-0.05,Fall
1927,12,-0.25,Fall
1928,01,-0.05,Winter
1928,02,-0.1,Winter
1928,03,-0.23,Winter
1928,04,-0.24,Spring
1928,05,-0.17,Spring
1928,06,-0.28,Spring
1928,07,-0.16,Summer
1928,08,-0.19,Summer
1928,09,-0.15,Summer
1928,10,-0.18,Fall
1928,11,-0.11,Fall
1928,12,-0.14,Fall
1929,01,-0.42,Winter
1929,02,-0.49,Winter
1929,03,-0.31,Winter
1929,04,-0.36,Spring
1929,05,-0.31,Spring
1929,06,-0.34,Spring
1929,07,-0.29,Summer
1929,08,-0.23,Summer
1929,09,-0.22,Summer
1929,10,-0.14,Fall
1929,11,-0.12,Fall
1929,12,-0.45,Fall
1930,01,-0.29,Winter
1930,02,-0.26,Winter
1930,03,-0.08,Winter
1930,04,-0.18,Spring
1930,05,-0.16,Spring
1930,06,-0.12,Spring
1930,07,-0.12,Summer
1930,08,-0.1,Summer
1930,09,-0.1,Summer
1930,10,-0.04,Fall
1930,11,0.14,Fall
1930,12,-0.02,Fall
1931,01,-0.07,Winter
1931,02,-0.17,Winter
1931,03,-0.06,Winter
1931,04,-0.15,Spring
1931,05,-0.13,Spring
1931,06,-0.01,Spring
1931,07,0.1,Summer
1931,08,-0.01,Summer
1931,09,-0.1,Summer
1931,10,0.02,Fall
1931,11,-0.09,Fall
1931,12,-0.05,Fall
1932,01,0.1,Winter
1932,02,-0.13,Winter
1932,03,-0.14,Winter
1932,04,-0.04,Spring
1932,05,-0.14,Spring
1932,06,-0.17,Spring
1932,07,-0.15,Summer
1932,08,-0.15,Summer
1932,09,-0.1,Summer
1932,10,-0.1,Fall
1932,11,-0.23,Fall
1932,12,-0.23,Fall
1933,01,-0.26,Winter
1933,02,-0.31,Winter
1933,03,-0.26,Winter
1933,04,-0.21,Spring
1933,05,-0.25,Spring
